sample	path	lineage	population
C61158	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C61158.bam	BL	navajo
C61159	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C61159.bam	BL	navajo
C64811	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C64811.bam	BL	williamson
C64812	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C64812.bam	BL	williamson
C64833	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C64833.bam	GR	steelman
C64834	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C64834.bam	GR	steelman
C86113	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C86113.bam	BL	nanita
C86114	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C86114.bam	BL	nanita
C89918	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C89918.bam	GR	como
C89919	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C89919.bam	GR	como
C106394	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106394.bam	GR	s_hayden
C106395	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106395.bam	GR	s_hayden
C106420	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106420.bam	GR	severy
C106421	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106421.bam	GR	severy
C106533	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106533.bam	GR	abrams
C106534	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106534.bam	GR	abrams
C106795	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106795.bam	BL	e_fk_piedra
C106796	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106796.bam	BL	e_fk_piedra
C106914	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106914.bam	BL	w_fk_boulder
C106915	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C106915.bam	BL	w_fk_boulder
C111600	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C111600.bam	GR	kelso
C111601	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C111601.bam	GR	kelso
C116990	CRCT-snakeflow/results/angsd_bams/overlap_clippedC116990.bam	GR	roan
C116991	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C116991.bam	GR	roan
C137404	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C137404.bam	BL	dry_gulch
C137405	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C137405.bam	BL	dry_gulch
C146087	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C146087.bam	GR	s_twin
C146088	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C146088.bam	GR	s_twin
C153862	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C153862.bam	GR	hunter
C153863	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C153863.bam	GR	hunter
C164587	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C164587.bam	GR	w_antelope
C164589	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C164589.bam	GR	w_antelope
C54438	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C54438.bam	YS	yellowstone
C54439	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C54439.bam	YS	yellowstone
C80221	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C80221.bam	SJ	san_juan
C80222	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C80222.bam	SJ	san_juan
C88212	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C88212.bam	BV	bonneville
C88213	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C88213.bam	BV	bonneville
C115796	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C115796.bam	GB	greenback
C115797	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C115797.bam	GB	greenback
C172915	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C172915.bam	LN	lahontan
C172916	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C172916.bam	LN	lahontan
C132064	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C132064.bam	CS	coastal
C132065	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C132065.bam	CS	coastal
C132968	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C132968.bam	WS	westslope
C132969	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C132969.bam	WS	westslope
C140859	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C140859.bam	RG	rio_grande
C140860	CRCT-snakeflow/results/angsd_bams/overlap_clipped/C140860.bam	RG	rio_grande
